region,anzsic_descriptor,anzsic_descriptor2,category,gas,units,magnitude,year,data_val
Waikato,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,167.28
Waikato,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,166.52
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,72.92
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,84.54
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,80.3
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,80.81
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,80.73
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,71.08
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,63.04
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,61.12
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,57.67
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,75.26
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,95.8
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,105.05
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,101.97
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,108.24
Wellington,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,113.71
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,10.12
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,12.42
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,11.64
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,11.21
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,12.39
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,11.8
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,8.79
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,8.99
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,8.25
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,7.93
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,11.03
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,11.83
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,10.67
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,10.31
West Coast,Construction,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2021,11.44
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,260.57
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,258.26
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,267.04
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,266.01
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,267.06
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,264.46
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,287.09
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,293.26
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,292.18
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,308.91
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,332.73
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,309.3
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,375.62
Auckland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,370.68
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,48.35
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,49.79
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,55.35
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,51.15
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,49.95
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,46.89
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,48.93
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,50.9
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,50.95
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,58.47
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,61.11
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,54.63
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,68.51
Bay of Plenty,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,68.74
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,78.95
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,84.02
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,85.84
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,83.6
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,83.47
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,81
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,86.81
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,90.43
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,88.35
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,95.3
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,101.47
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,90.92
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,106.74
Canterbury,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,105.13
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,5.4
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,4.83
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,4.73
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,4.5
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,4.67
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,4.92
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,5.54
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,5.5
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,4.21
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,4.36
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,4.62
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,4.78
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,6.07
Gisborne,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,6.01
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,19.64
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,19.38
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,19.49
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,19.08
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,19.13
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,18.92
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,20.44
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,18.64
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,18
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,20.42
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,22.45
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,20.04
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,22.95
Hawke's Bay,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,22.67
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,31
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,30.52
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,32.1
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,31.72
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,31.84
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,30.3
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,29.7
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,28.46
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,26.67
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,28.49
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,30.41
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,28.12
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,32.6
Manawatu-Whanganui,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,32.25
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,7.2
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,6.98
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,7.18
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,6.57
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,6.45
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,5.97
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,6.53
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,6.37
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,5.92
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,6.21
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,6.68
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,5.88
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,7.11
Marlborough,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,7.01
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,18.71
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,18.62
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,18.9
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,17.59
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,17.45
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,16.23
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,16.72
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,16.54
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,15.72
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,17.25
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,19.72
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,17.39
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,19.88
Northland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,19.51
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,34.32
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,37.8
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,39.45
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,36.51
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,36.28
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,35.1
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,37.97
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,39.82
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,37.98
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,41.79
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,46.44
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,39.35
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,43.91
Otago,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,43.04
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,12.42
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,12.96
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,13.97
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,13.65
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,14.14
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,13.64
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,14.46
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,14.53
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,13.27
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,13.39
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,14.08
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,12.38
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,13.99
Southland,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,13.69
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,12.34
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,13.21
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,13.69
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,12.85
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,12.9
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,12.34
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,12.77
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,12.73
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,11.95
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,12.92
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,14.51
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,12.27
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,13.9
Taranaki,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2020,13.67
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2007,12.49
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2008,13.11
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2009,13.32
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2010,12.6
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2011,12.51
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2012,12.78
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2013,13.32
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2014,14.33
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2015,13.88
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2016,14.99
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2017,16.19
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2018,15.2
Tasman/Nelson,Wholesale and retail trade and accommodation and food services,Total,Total,Carbon dioxide equivalents,Kilotonnes,Carbon dioxide equivalents,2019,17.94
